Employee ID,First Name,Last Name,Department,Position,Salary
21,Emma,Harris,HR,Benefits Admin.,"$44,000"
22,Andrew,Murphy,Sales,Sales Support,"$40,000"
23,Olivia,Turner,IT,Network Eng.,"$58,000"
24,Ethan,Baker,Marketing,Product Mgr.,"$65,000"
25,Chloe,Nelson,Finance,Financial Plan.,"$53,000"
26,Benjamin,Cooper,HR,HR Generalist,"$46,000"
27,Lily,Reed,IT,UX Designer,"$62,000"
28,Nathan,Campbell,Sales,Account Mgr.,"$55,000"
29,Grace,Morgan,Marketing,Brand Manager,"$68,000"
30,Samuel,Ward,Finance,Tax Consultant,"$58,000"
